new_cases
1
1
1
1
1
1
1
1
1
1
2
2
2
2
2
3
3
3
4
4
5
5
6
7
7
8
9
10
11
13
14
16
17
19
22
24
27
30
34
37
42
46
52
58
64
72
80
89
99
110
122
136
151
168
186
207
229
254
282
312
344
380
419
462
508
558
612
670
731
797
866
939
1015
1095
1176
1259
1343
1427
1510
1591
1668
1741
1808
1868
1920
1963
1996
2019
2031
2032
2022
2002
1971
1932
1884
