new_cases
1
1
1
1
2
2
2
2
3
3
4
5
5
6
8
9
10
12
14
17
20
23
27
32
37
44
51
60
70
83
97
114
133
156
183
215
252
296
347
406
476
558
654
766
896
1049
1227
1435
1677
1958
2284
2662
3100
3605
4185
4851
5612
6476
7454
8554
9781
11140
12630
14247
15978
17805
19700
21628
23543
25392
27120
28665
29971
30986
31671
31998
31959
31560
30825
29789
28499
27008
25369
23636
21856
20073
18321
16629
15018
13503
12093
10792
9601
8518
7539
