new_cases
1
1
1
1
1
1
1
2
2
2
2
3
3
4
4
5
6
6
7
9
10
11
13
15
17
20
23
26
30
34
40
45
52
60
69
80
91
105
121
139
160
184
211
242
279
320
368
422
485
557
640
734
842
966
1107
1269
1453
1663
1902
2174
2482
2831
3226
3670
4169
4728
5351
6043
6807
7647
8562
9554
10619
11751
12942
14180
15448
16726
17990
19214
20367
21421
22345
23114
23704
24098
24285
24262
24032
23606
23003
22242
21349
20351
19274
