new_cases
0
0
0
0
4
0
2
0
0
0
0
0
0
0
0
0
0
0
0
0
3
3
1
2
6
2
1
0
3
3
7
5
7
15
39
52
50
28
27
29
60
78
88
138
144
137
240
243
218
351
358
348
362
466
563
560
553
604
631
596
574
905
1012
972
1107
902
767
1157
1342
1070
1632
1420
1051
1131
984
1047
941
1011
1009
1106
1139
1246
1261
1318
1282
1268
1198
1162
