new_cases
0
1
0
1
1
3
1
0
0
0
1
5
1
7
10
19
13
22
29
41
84
61
74
67
97
101
142
147
145
185
223
246
285
400
617
754
831
983
1001
1477
1814
2344
2575
3012
3992
3474
4420
5103
6034
7303
8181
7506
6448
7761
9434
9817
10885
8871
10842
8625
9078
10953
11178
10234
9593
8718
6500
7675
7988
8048
8149
7094
6406
4929
7005
7377
7766
8146
8507
8852
9174
9474
9727
9945
10132
10289
10421
10530
